session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status,Vision
5fb507b69e2ff3326d9edd31,5f4d0a751798ec967d4c2b35,APPROVED,2020-11-18 11:38:30.270000,2020-11-18 11:40:13.820000,103.55,19,44,1,100,2020-11-18 12:01:52.477000,12297024,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Male,Yes,Yes
5fb507b877754b334d9f3055,5ea968bb6b63e005e4101007,APPROVED,2020-11-18 11:38:38.699000,2020-11-18 11:42:22.880000,224.181,47,168,1,100,2020-11-18 12:01:56.929000,12297024,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No,Yes
5fb507ba4e5d4d3156b267f0,5bb8e15207378900018eec62,APPROVED,2020-11-18 11:38:36.969000,2020-11-18 11:41:26.199000,169.23,29,279,9,94,2020-11-18 12:02:01.261000,12297024,Australia,United Kingdom,Full-Time,English,,Australia,Female,No,Yes
5fb507bbb85e941e7be873b0,5fb24d7e801ba77cb8f0c8d2,APPROVED,2020-11-18 11:38:53.264000,2020-11-18 11:42:35.686000,222.422,25,16,0,100,2020-11-18 12:02:05.163000,12297024,United Kingdom,United Kingdom,Other,DATA EXPIRED,English,United Kingdom,Male,Yes,Yes
5fb507bbe7da8332567a0898,5f3abfead0362c14ef650c1a,APPROVED,2020-11-18 11:38:35.911000,2020-11-18 11:42:10.246000,214.335,20,56,0,100,2020-11-18 12:02:08.384000,12297024,Hungary,Hungary,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,Hungary,Female,No,Yes
5fb507bcb7983132afbc3dd4,5a718c0eff6f2300013efab2,APPROVED,2020-11-18 11:38:55.726000,2020-11-18 11:47:00.535000,484.809,29,392,0,100,2020-11-18 12:02:12.686000,12297024,United States,United States,Full-Time,English,,United States,Male,No,Yes
5fb507bd3ffcac1e7de04f1c,5e3bf0fb13ec10021f353261,APPROVED,2020-11-18 11:38:39.618000,2020-11-18 11:43:09.916000,270.298,34,104,0,100,2020-11-18 12:02:15.863000,12297024,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,No,Yes
5fb507beb369f3329af63662,5f10da001b822c2988fbdb89,APPROVED,2020-11-18 11:38:38.152000,2020-11-18 11:41:25.025000,166.873,33,117,2,100,2020-11-18 12:02:19.387000,12297024,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5fb507bf69209a32e9ec8af9,5bf57133345b9b00016ef0a7,APPROVED,2020-11-18 11:38:42.716000,2020-11-18 11:41:07.959000,145.243,24,117,0,100,2020-11-18 12:02:22.276000,12297024,United Kingdom,United Kingdom,Due to start a new job within the next month,English,English,United Kingdom,Female,Yes,Yes
5fb507bf7e8196333497a103,566763253045cd0005bfedaf,APPROVED,2020-11-18 11:38:39.903000,2020-11-18 11:43:47.642000,307.739,63,1159,10,99,2020-11-18 12:02:26.282000,12297024,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,No,Yes
5fb507c1e7da8332caff4444,5e4faf8fc0bead3ee2222c03,APPROVED,2020-11-18 11:38:47.121000,2020-11-18 11:42:06.914000,199.793,64,214,4,98,2020-11-18 12:02:36.933000,12297024,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No,Yes
5fb507c16f88d232252367cd,5f07713e496b0a000806046f,APPROVED,2020-11-18 11:38:46.885000,2020-11-18 11:42:27.827000,220.942,21,244,0,100,2020-11-18 12:02:33.053000,12297024,United States,United States,Unemployed (and job seeking),English,English,United States,Female,Yes,Yes
5fb507c29274e91e7ba18210,5f9da7599932bc2fde07f6cf,APPROVED,2020-11-18 11:38:49.616000,2020-11-18 11:43:56.843000,307.227,19,19,0,100,2020-11-18 12:02:40.625000,12297024,United Kingdom,United Kingdom,Other,DATA EXPIRED,English,United Kingdom,Male,Yes,Yes
5fb507c2ed0d7a1df24e0cb2,5728fa200802f2000f3ef195,APPROVED,2020-11-18 11:38:46.813000,2020-11-18 11:42:29.446000,222.633,29,598,5,100,2020-11-18 12:02:43.527000,12297024,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No,Yes
