success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_sum,followed_instructions,view_history,rt,set_size,target_present,RT,response,target_position,distractor_positions,jitter,correct_response,test_part,correct,stimulus,key_press,responses
,html-keyboard-response,20,89545,0.0-4.0-1.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,21,92125,0.0-4.0-0.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,4.0,0.0,792.1476123854518,f,"[-0.16666666666666602, 0]","[[-0.33333333333333304, -0.33333333333333304], [0.16666666666666602, -0.16666666666666602], [-0.33333333333333304, 0.33333333333333304]]",571.9173876568675,f,absence1,1.0,,,
,html-keyboard-response,22,93128,0.0-4.0-1.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,23,95156,0.0-5.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,4.0,1.0,811.0381037229672,j,"[-0.16666666666666602, 0.33333333333333304]","[[0.16666666666666602, -0.16666666666666602], [0.16666666666666602, -0.33333333333333304], [0.33333333333333304, 0.33333333333333304]]",8.951896335929632,j,absence1,1.0,,,
,html-keyboard-response,24,96160,0.0-5.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,25,98856,0.0-5.0-0.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,4.0,1.0,597.2636568592861,j,"[0, -0.16666666666666602]","[[0.16666666666666602, -0.33333333333333304], [0.33333333333333304, -0.33333333333333304], [-0.16666666666666602, 0]]",887.2313431929797,j,absence1,1.0,,,
,html-keyboard-response,26,99859,0.0-5.0-1.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,27,101892,0.0-5.0-0.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,8.0,1.0,698.7945832777768,j,"[0.33333333333333304, 0.16666666666666602]","[[-0.33333333333333304, 0.33333333333333304], [0, -0.16666666666666602], [-0.33333333333333304, 0.16666666666666602], [-0.16666666666666602, -0.33333333333333304], [0, 0], [0, -0.33333333333333304], [-0.16666666666666602, -0.16666666666666602]]",125.52041676826775,j,absence1,1.0,,,
,html-keyboard-response,28,102896,0.0-5.0-1.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,29,105541,0.0-5.0-0.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,8.0,1.0,653.0921356286854,j,"[-0.16666666666666602, -0.33333333333333304]","[[0, -0.33333333333333304], [0.33333333333333304, -0.33333333333333304], [0, -0.16666666666666602], [-0.33333333333333304, -0.33333333333333304], [0.33333333333333304, 0.33333333333333304], [0.16666666666666602, -0.16666666666666602], [0.16666666666666602, -0.33333333333333304]]",780.0028643105179,j,absence1,1.0,,,
