session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status
5f77211acca3e71ef9f30dd0,59e74251d838ae0001850b6a,APPROVED,46:24.1,48:48.7,144.633,33,782,4,100,49:02.7,3124843D,United Kingdom,United Kingdom,Unemployed (and job seeking),English,,United Kingdom,Female,No
5f77211b1056fd1f68da1802,59e74eaabbdb420001cdbdb2,APPROVED,46:25.8,50:54.1,268.273,55,557,0,100,51:54.4,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f77211b79a4421f2a35f6b5,5e1ee2050c0b3120e01eeec1,APPROVED,47:04.5,49:08.1,123.552,29,187,1,100,49:34.9,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f77211f5e59bb1e903f8f9b,5eda56d66594866448d580c8,APPROVED,46:23.7,49:51.9,208.252,22,75,1,100,50:00.6,3124843D,United Kingdom,United Kingdom,Other,English,,United Kingdom,Female,Yes
5f772120ee34dd1f144f0d44,5b6dbe6d5729b200016a542d,APPROVED,46:26.0,48:10.5,104.448,19,428,10,97,49:04.7,3124843D,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,Yes
5f772125db9e0e1ee5c32ab2,5dbb0562b1df1b110ead5bba,APPROVED,46:29.8,49:42.3,192.467,33,221,0,100,49:59.0,3124843D,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,No
5f7721267e98001ef4eb36a3,5c92be271371cb0001530cb0,APPROVED,46:32.7,49:04.2,151.498,29,15,0,100,49:09.7,3124843D,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Male,No
5f772126a932fb1feae24b94,5ca9b3e6635fb500014ec570,APPROVED,46:37.7,49:47.9,190.14,44,147,0,100,49:57.4,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,No
5f7721673bf0b62030f7aba7,5f1ee9762cf35404a8c37581,APPROVED,47:37.2,50:01.3,144.008,26,35,1,100,02/10/2020 12:50,3124843D,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,,United Kingdom,Female,No
5f772227728abc1fab2085cf,5f05b6a83c0c4206b334458a,APPROVED,50:47.8,53:27.2,159.392,36,69,0,100,56:53.5,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5f772275be4d821f8804bb91,5dd3cf5c270f443ac206b026,APPROVED,52:09.1,54:54.5,165.393,28,42,0,100,56:52.1,3124843D,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5f772367728abc1f581c7935,5eda87309c985569eb4cb2e0,APPROVED,56:10.6,01:05.7,295.025,43,80,2,99,16:41.6,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5f77245d859b2e1f4fd25c9c,56f1aced99423f000c9d8897,APPROVED,00:15.9,02:33.9,137.969,23,151,0,100,16:40.8,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f7725f3818c1f201c552e72,5f15c46a19912324313effa0,APPROVED,07:01.4,08:16.9,75.509,22,47,1,100,08:18.1,Manual Completion,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,Yes
5f7725f53a2dd31f4a023a55,5eff87905d91970576344750,APPROVED,07:07.0,09:59.0,172.002,18,50,0,100,16:38.4,3124843D,Nigeria,United Kingdom,Other,English,English,Nigeria,Female,Yes
5f7725f616e2141fcd4af486,5ea000d6e849b0000814e9d5,APPROVED,07:29.5,11:18.9,229.46,46,159,2,100,16:14.3,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5f7725f8a2156d08f1b302c6,5f181092bc89f00dc2e577a2,APPROVED,07:04.1,09:20.4,136.315,32,53,0,100,16:39.7,3124843D,Australia,United Kingdom,Full-Time,English,,Germany,Male,No
5f7725fe1bc50420d26f7db1,5ec682b47ee9e4078e50eac7,APPROVED,07:10.6,09:42.1,151.503,18,111,0,100,16:24.3,3124843D,United Kingdom,United Kingdom,Part-Time,English,,United Kingdom,Female,Yes
5f7725ff16924a1f47cc4bc6,579f55486475d400015ab683,APPROVED,07:14.8,09:54.1,159.29,55,1251,6,100,16:21.2,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f7725ffd6756f1fb6e7a600,5932f5d4991e160001effbd2,APPROVED,07:41.5,10:39.7,178.193,50,996,16,97,16:08.3,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5f7725ff890e2f1ff8f03ca4,5a2d43114ed219000159a213,APPROVED,07:17.0,10:46.2,209.169,60,491,1,100,16:20.7,3124843D,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker, retired or disabled)",English,,United Kingdom,Female,No
5f772601f90c7d1f94bdef42,595bf7acc76e6700014d33fc,APPROVED,07:13.4,13:22.0,368.558,,578,3,100,16:23.3,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,DATA EXPIRED
5f772604db7046205bb2fdf0,5e5e86c4a234251abddcd29d,APPROVED,07:16.7,11:23.0,246.348,69,187,1,100,16:19.9,3124843D,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
5f772606b2c51e09b084da74,5eb3cef4444b2f1be1ed2e00,APPROVED,07:20.5,21:26.0,845.537,20,121,3,96,34:14.0,3124843D,United Kingdom,United Kingdom,Unemployed (and job seeking),English,,United Kingdom,Female,No
5f7726085279d21ef21879a1,5c1d234d89f035000172aeb7,APPROVED,08:13.6,11:08.8,175.255,24,581,3,100,15:56.2,3124843D,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,No
5f772608cd4a781ff5f464ec,599e74eeb4e8c80001d1147e,APPROVED,07:23.8,09:59.1,155.337,35,722,6,99,16:18.3,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f7726096e474509bc3144bd,5c838a63532afd001506fd34,APPROVED,07:23.4,10:49.0,205.572,55,315,1,100,16:19.0,3124843D,United Kingdom,United Kingdom,Unemployed (and job seeking),English,,United Kingdom,Female,No
5f77260c3ce8340942aa5a49,5c28a88b1c8e4c0001b2e0c7,APPROVED,07:24.7,10:14.3,169.629,63,437,2,100,16:17.7,3124843D,Australia,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
5f77260d0c01561fdf40fef9,5c3cc9b5ba6fab0001c50952,APPROVED,07:33.7,10:08.4,154.706,56,372,0,100,16:12.7,3124843D,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,No
5f77260da3d6710996ce297d,5ec7a8a6bc8040213b45a96a,APPROVED,07:25.9,11:12.7,226.757,36,138,0,100,16:15.0,3124843D,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,No
5f77260e0dc3631f6067cccb,58df90cecc6d9800018c5d58,APPROVED,07:30.0,10:31.3,181.278,32,949,6,100,16:13.5,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5f77260e02bfce1dddec80a9,5d3e019693eb2d0015788062,APPROVED,11:35.4,18:10.8,395.446,35,82,0,100,34:18.0,NOCODE,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f77261454feeb1fbe3c64fd,5ac2509f1667e40001d8445c,APPROVED,07:39.0,10:48.7,189.708,65,203,5,95,16:08.8,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,No
5f7726155948791fb3274257,5f3d63427c561a0f0d0cb09c,APPROVED,07:33.8,10:12.8,159.05,39,41,0,100,16:11.9,3124843D,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,United Kingdom,Male,No
5f7726186c029a1f8f256904,5f5f98acf260d600099ce26f,APPROVED,07:38.2,10:36.7,178.508,24,19,0,100,16:10.5,3124843D,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Male,No
5f772619881adf1f55c6ada8,5f1748a52419490a86936295,APPROVED,07:42.5,11:51.0,248.488,48,41,0,100,16:07.6,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5f77261cd2ddfa1edf5063e7,5eca601af9ac0e5879c8e2c6,APPROVED,07:44.6,09:11.9,87.296,20,82,1,100,16:06.7,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,Yes
5f77261c2fefba1ff607be5d,5992edfc3ae1c8000110610b,APPROVED,08:02.7,10:41.7,159.057,31,888,5,100,16:00.6,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,No
5f77261e44267e1fca752048,5ef6feae9489ba3fa26d0f67,APPROVED,07:49.3,11:06.0,196.691,42,21,0,100,16:05.2,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f77261e1bc5042080f69bfd,5c446de311bc1c0001fff3fe,APPROVED,07:42.6,11:02.1,199.504,19,491,0,100,16:07.1,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,Yes
5f77261e5e59bb1f92c8aa31,5ef37e2ca184db0e6896d19b,APPROVED,07:45.3,10:37.9,172.539,65,82,0,100,16:05.9,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5f772621a5ab6f1e3b3f2104,5f35c5f2d127711ed26fe766,APPROVED,07:49.6,14:27.8,398.186,42,28,0,100,16:03.7,3124843D,United Kingdom,United Kingdom,Full-Time,,English,United Kingdom,Female,No
5f772621728abc1fab2085dc,5f2d683132c21b013541f92a,APPROVED,07:49.4,11:28.5,219.057,33,25,0,100,15:48.9,3124843D,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,United Kingdom,Female,No
5f7726275e59bb1f92c8aa32,5c4da47734ee9300011d2299,APPROVED,07:59.3,12:25.1,265.728,72,316,6,98,16:02.1,3124843D,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
5f7726287b3c3e090029d4af,5f16cc4c154e500008aef09e,APPROVED,07:55.3,11:21.6,206.351,52,42,0,100,16:02.6,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,No
5f77262812f75f09ab84d9e0,5c44c6ea4c194d00019cea9c,APPROVED,07:54.7,10:51.9,177.228,21,121,0,100,16:03.1,3124843D,United States,United States,Other,English,,United States,Male,Yes
5f77262d6e6b842022a81423,5cb0d94aff629100171b05b1,APPROVED,08:01.1,11:03.7,182.553,38,439,5,99,16:01.2,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,Yes
